"Presenter name","Talk Number","Coauthors","Affiliations","Title","Topics (select all that apply)","Keywords","Abstract (max 1500 characters)"
"Ziyi Mo [1, 2]",,"Ziyi Mo [1, 2], Adam Siepel [1]","[1] Simons Center for Quantitative Biology, Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, [2] School of Biological Sciences, Cold Spring Harbor Laboratory, Cold Spring Harbor, NY","Robust supervised machine learning for population genetic inference with domain adaptation","Population genetics;Natural selection;Deep learning in genomics",,"A series of supervised machine learning methods have recently been proposed to address a range of problems in population genetics. Despite their much-improved performance over traditional statistical methods, model mis-specification remains the Achilles’ heel of this new paradigm. Here, we propose that domain adaptation techniques can be a powerful tool to mitigate the effect of model mis-specification on the performance of these methods. We demonstrated that the Deep Reconstruction-Classification Network (DRCN) helped our previously proposed SIA model achieve a better performance in identifying selective sweeps when the parameters used for simulating training data mismatch those underlying the generation of the data at test time. We anticipate that this approach will be widely applicable and can be an important tool to build confidence in the results when adopting supervised machine learning methods for inference."
"Xin Huang",,"Martin Kuhlwilm","Department of Evolutionary Anthropology, University of Vienna, Djerassiplatz 1, 1030 Vienna, Austria","sstar: A Python package for detecting archaic admixture from population genetic data with S*","Population genetics","Introgression; Archaic admixture; Population genetics","S* is a widely used statistic for detecting archaic admixture from population genetic data. To apply S*, previous studies used the freezing-archer. This repository is a compilation of Python 2 and R scripts, originally developed to detect Neanderthal and Denisovan introgression into modern humans. However, users need to customize freezing-archer by themselves when studying other species or populations. Here, we implemented a new Python 3 package named sstar, with better performance than freezing-archer. Reliability was also improved after fixing bugs in freezing-archer. Compared with freezing-archer, sstar is more user-friendly, versatile and well-documented."
"Yun Deng",,"Rasmus Nielsen","Center of computational biology, UC Berkeley","A new framework for efficiently sampling ancestral recombination graph","Population genetics;Quantitative genetics","Ancestral recombination graph, Sequentially Markovian Coalescent, Decoupling","The ancestral recombination graph (ARG) is a structure that describes the joint genealogies of sampled DNA sequences along the genome. Accurate inference and sampling of the ARG, especially for large datasets, has the potential to substantially improve analyses in population genetics. Several previous methods have been developed for this purpose, but they are either not computationally scalable or do not allow accurate sampling of topologies according to a well-defined posterior. Here we provide a new framework for ARG inference based on a principled way of approximating ARGs under the Sequentially Markovian Coalescent (SMC) model. This new framework provides a balance between inference accuracy and computational speed. It can also facilitate the incorporation of various demographic models and allow sampling from a variety of priors for topologies and coalescence times. "
"Guillaume P. Ramstein [1]",,"Edward S. Buckler [2, 3]","[1] Center for Quantitative Genetics and Genomics at Aarhus University, [2] Institute for Genomic Diversity at Cornell University, [3] USDA-ARS","Prediction of evolutionary constraint by genomic annotations improves prioritization of causal variants in maize","Quantitative genetics;Causal inference in genetic studies;Functional genomics;Deep learning in genomics","Comparative genomics, machine learning, genomic prediction, Zea mays","Traditional quantitative genetics analyses have successfully identified genomic regions responsible for genetic variability, but they have generally lacked the resolution to detect the exact genomic sites causing differences among individuals. To detect causal polymorphisms at single-site resolution, plant geneticists can rely on nucleotide conservation, as a proxy for fitness effect of mutations. However, its usefulness can be limited, due to missing data and low depth of multiple-sequence alignments. In this study, we used genomic annotations to accurately predict nucleotide conservation across Angiosperms. Using only sequence analysis, we annotated non-synonymous mutations in about 25,824 maize gene models, with information from bioinformatics (SIFT scores, GC content, transposon insertion, k-mer frequency) and deep learning (protein representations by UniRep). Predictions of nucleotide conservation by our genomic annotations were validated by experimental information at polymorphisms: within-species conservation, chromatin accessibility, gene expression and Gene Ontology enrichment. Importantly, predicted nucleotide conservation also improved genomic prediction for grain yield (+5% and +38% prediction accuracy within and across maize panels, respectively). Therefore, our approach – Prediction of mutation Impact by Calibrated Nucleotide Conservation (PICNC) – may effectively prioritize the single-site polymorphisms most likely to impact important agronomic traits in maize."
"Alan Murphy",,"Nathan Skene","[1] UK Dementia Research Institute at Imperial College London, London W12 0BZ, UK 
[2] Department of Brain Sciences, Imperial College London, London W12 0BZ, UK","A balanced measure shows superior performance of pseudobulk methods over mixed models and pseudoreplication approaches in single-cell RNA-sequencing analysis ","Single cell -omics","single-cell RNA-Seq differential expression, pseudobulk, pseudoreplication, mixed models","Multiple approaches have been proposed for the analysis of differential expression of single-cell RNA-sequencing data which can be broadly grouped into pseudoreplication, pseudobulk aggregation and mixed models. Recently, Zimmerman et al. [1] proposed the use of mixed models over pseudobulk approaches, reporting improved performance on a novel simulation approach of hierarchical single-cell expression data. However, their reported results could not prove the superiority of mixed models as they are based on separate calculations of type 1 (performance of the models on non-differentially expressed genes) and type 2 error (performance on differentially expressed genes). To correctly benchmark the models, a reanalysis using a balanced measure of performance, considering both the type 1 and type 2 errors (both the differentially and non-differentially expressed genes), is necessary. Our reanalysis demonstrates that pseudobulk approaches are far from being too conservative and are, in fact, the best performing models based on this simulated dataset for the analysis of single-cell expression data.
[1] Zimmerman, K. D., Espeland, M. A. & Langefeld, C. D. A practical solution to pseudoreplication bias in single-cell studies. Nat. Commun. 12, 738 (2021)."
"Tom Bartlett[1]",,"Swati Chandna[2], Sandipan Roy[3]","[1] Department of Statistical Science, University College London
[2] Department of Economics, Mathematics and Statistics, Birkbeck University of London
[3] Department of Mathematical Sciences, University of Bath
","Stochastic networks models for unsupervised phenotyping in high-dimensional genomic data","Applications to cancer and other diseases;Single cell -omics",,"Similar levels of sparsity can be observed in adjacency matrices that represent observations of a network, as can be observed in count matrices that represent observations of genomic sequencing count data (where sparsity refers to density of non-zero entries). Hence, modelling techniques developed for stochastic networks, that can be extended to bipartite networks with multiedges, are well specified (if exchangeability is assumed) to model asymmetric matrices of count data. Based on this observation, we have made use of the latest theory of stochastic networks [1], to model the observed distributions of genomic sequencing data in the eigenspace of the graph Laplacian [2]. Thus, we have used this theory to develop novel techniques for modelling genomic data, understanding that clusters of cells (like nodes) will follow multivariate-Gaussian distributions in this space. Hence, we propose a new method for unsupervised classification of novel cell-types [2], and show it is able to identify more subtle and precise distinctions (as confirmed by domain specialists) between cellular phenotypes than are made by leading software available in computational biology [3]. [1] Rubin-Delanchy P, et al. arXiv preprint arXiv:1709.05506. 2017 Sep 16. [2] Bartlett TE, Jia P, Chandna S, Roy S. Nature Scientific reports. 2021 Dec 8;11(1):1-0. [3] Satija R, et al. Nature biotechnology. 2015 May;33(5):495-502."
"Claudia Serrano Colome [1,2]",,"Oleguer Canal Anton [3], Donate Weghorn [1,2]","[1] Centre for Genomic Regulation (CRG), [2] Universitat Pompeu Fabra (UPF), [3] KTH Royal Institute of Technology in Stockholm. ","SigNet: three ANN-based tools for extracting and analyzing mutational processes in tumor genomes","Applications to cancer and other diseases;Deep learning in genomics","Signature Decomposition, COSMIC signatures, Artificial Neural Networks","Mutations that occur during cancer development can be classified into different mutational processes. This is done using the mutations’ sequence contexts and statistical tools that decompose the observed mutation spectra into statistically independent mutational signatures. Many so-called refitting algorithms have been developed to find linear combinations of these signatures in a given tumor. However, these algorithms were developed years ago and they have not been tested for the newest catalogs of signatures. Here I present SigNet: a collection of data-based algorithms useful in the study of mutational processes. The first module is called SigNet Refitter, a method that uses Deep Neural Networks to do signature refitting. This algorithm outperforms the existing methods, is easily adaptable to any new catalog of mutational signatures and provides very accurate prediction intervals for the contribution of each signature in a single tumor. Moreover, we designed a method called SigNet Generator, to synthetically create realistic-looking data based on the known correlations between signatures, which allows us to create a labeled dataset.  Finally, since these known correlations are susceptible to change and more signatures are left to be identified, we also implemented a method capable of identifying samples that do not preserve such correlations. We refer to it as SigNet Detector. SigNet, with its three modules, provides useful tools for the field of signature decomposition."
"Ryan Gutenkunst",,"Paul D. Blischak [1], Mathews Sajan [1], Michael S. Barker [1], Ryan N. Gutenkunst [1]","[1] University of Arizona","Demographic History Inference and the Polyploid Continuum","Population genetics","autopolyploid, allopolyploid, dadi","Polyploidy is an important generator of evolutionary novelty, occurring within a single lineage (autopolyploidy) or by hybridization between different lineages (allopolyploidy). Historically, these scenarios have been treated as completely separate cases based on chromosome pairing, with autopolyploids pairing among all homologous chromosomes and allopolyploids pairing only among chromosomes from the same parent lineage. But if they are similar enough, chromosomes from distinct lineages may pair and thus alleles may be exchanged between subgenomes. Quantitatively inferring demographic history and rates of subgenomic exchange within polyploids may shed light on the evolutionary history of key species, including many crops. We thus developed diffusion models for genetic variation in polyploids with variable inheritance patterns and implemented them in the dadi software.
We used SLiM simulations to validate our models and test their inference properties, focusing on the case in which reads from two subgenomes cannot by distinguished bioinformatically. We then applied these models to infer demographic history and subgenome exchange for shepherd's purse (Capsella bursa-pastoris), a recently formed allotetraploid, to investigate the timing and impact of hybridization and genome duplication."
"Caetano Souto Maior Mendes",,,"[1] BCAM - Basque Center for Applied Mathematics, Bilbao, Spain, [2] Laboratory of Systems Genetics, National Heart Lung and Blood Institute, National Institutes of Health, Bethesda, MD, United States of America ","Coalescent census population under selection: full-likelihood inference, applications and implications","Population genetics;Natural selection;Phylogenetics;Pathogen genomics","Structured coalescent, natural selection, census population size, SARS-CoV-2","The Coalescent process is the workhorse of population genetics . Full-likelihood inference, though the standard for estimating population genetic (or any) parameters, is often not employed when it is difficult to specify an analytical likelihood function, for instance when complex demographies, structure, or selection are present.
 	Approximation schemes such as Approximate Bayesian Computation (ABC) can be used to circumvent some of those hurdles, and Machine Learning algorithms have recently allowed inference without requiring a subjective choice of data summaries — though none of the approaches can completely replace likelihood-based inference, which remains the gold standard. For that reason, population geneticists continue to use the approach and rely on simplifications and constructs like the effective population size (Ne).
	Here, I show by extending frameworks that allow arbitrarily complex population models, full-likelihood nonparametric estimation of census population and selection explicitly size is possible. In a nutshell, that is accomplished by extending the Bayesian Skyline Model to include births, and exploiting a structured coalescent to describe variation and selection — i.e. selection is readily described by subgroups with higher birth rates. I  also discuss potential applications to sequence-based pandemic surveillance, its caveats and implications."
"Logan Whitehouse",,"Dan Schrider","UNC Chapel Hill","Timesweeper: Detecting positive selection using population genomic time series","Population genetics;Natural selection;Deep learning in genomics","deep learning, positive selection","Despite decades of research, identifying selective sweeps, the genomic footprints of positive selection, remains a core problem in population genetics. Of the many methods that tackle this problem, few take advantage of the potential of genomic time-series data. This is because in most population genetic analyses only a single time point can be sampled. Recent advancements in sequencing technology, including improvements in extracting and sequencing ancient DNA, have made repeated samplings possible. With these advances in mind, we present Timesweeper, a fast convolutional neural network (CNN)-based tool for identifying sweeps in population genomic time series. Timesweeper works by first simulating time-series data under a user-specified demographic model, training a 1D CNN on said model, and inferring which variants in a real dataset were the direct target of a completed or ongoing sweep. We show that Timesweeper is powerful under multiple demographic and sampling scenarios, works with low-coverage ancient DNA, finds selected variants with high resolution, and has high tolerance for model misspecification. In sum, we show that more accurate inferences of sweeps are possible with genomic time-series, as will increasingly be feasible in coming years due to both the sequencing of ancient samples and repeated samplings of populations with short generation times. Methods like Timesweeper will thus help to resolve the controversy over the role of positive selection in the genome."
"Rahul Mehta",,"Jeremy Berg","University of Chicago","Deep Generative Modeling of Pleiotropy in the Genetic Architecture of Traits","Population genetics;Natural selection;Quantitative genetics;Deep learning in genomics","deep generative model, pleiotropy, and selectoin","Genome wide association studies (GWAS) provide a powerful, yet simple link to describe complex traits by their underlying genetic architecture. Several recent studies have demonstrated that natural selection plays an important role in shaping the distribution the genetic variation uncovered by GWAS.  A key challenge that remains is reconciling how selection acts on traits when so many of these traits are pleiotropic. Given that genetic variation is a result of small effects across the genome, pleiotropy can cause spurious signals of selection resulting in biological misinterpretations.  Here, we motivate and formalize a Bayesian framework to model the impact of natural selection on the genetic architecture of complex traits.  In particular we deconstruct the genetic architecture as a series of distributions that unify linkage disequilibrium regression methods with Poisson random field methods and a model for the effect of pleiotropy on the relationship between effect on trait and selection coefficient, without making an assumptions on the distribution of the selection parameters. This results in a generative model that uses GWAS summary statistics to estimate both the distribution of selection coefficients for loci within a specific trait, as well as the strength of stabilizing selection acting on that trait throughout human evolutionary history. "
"Yilei Huang",,"Yilei Huang, Harald Ringbauer","Max Planck Institute for Evolutionary Anthropology","hapCon: Estimating contamination of ancient genomes by copying from reference haplotypes","Population genetics","ancient DNA, Hidden Markov Model, population genetics","Human ancient DNA (aDNA) studies have surged in recent years, revolutionizing the study of the human past. Typically, aDNA is preserved poorly, making such data prone to contamination from other human DNA. Therefore, it is important to rule out substantial contamination before proceeding to downstream analysis. As most aDNA samples can only be sequenced to low coverages (<1x average depth), computational methods that can robustly estimate contamination in the low coverage regime are needed. However, the ultra low-coverage regime (0.1x and below) remains a challenging task for existing approaches. 

We present an innovative new method, hapCon, to estimate contamination in aDNA for male modern humans. It utilizes a Li&Stephens haplotype copying model for haploid X chromosomes, with mismatches modeled as genotyping error or contamination. We assessed hapCon on simulated and down-sampled empirical aDNA data for samples up to 45,000 years old and from diverse ancestries. Our results demonstrate that hapCon outperforms commonly used tools for estimating contamination, with substantially lower variance and narrower confidence intervals, especially in the low coverage regime.We found that hapCon provides useful contamination estimates for coverages as low as 0.1x for SNP capture data (1240k) and 0.02x for whole genome sequencing data (WGS), substantially extending the coverage limit of previous male X chromosome based contamination estimation methods."
"Alicia Gill",,,"Department of Statistics, University of Warwick","Inferring reproduction number from genomic and epidemiological data using MCMC methods","Population genetics;Phylogenetics;Pathogen genomics",,"Genomic data is increasingly being used to understand infectious disease epidemiology. Unfortunately, phylogenetic trees used to represent the genomic variation are not easy to relate with epidemiological processes such as the reproduction number R(t). Supposing that the epidemic can be modelled as a birth-death process, we use Markov chain Monte Carlo methods (MCMC) to infer its parameters using a dated phylogeny and various qualities of prevalence data. When we have accurate data of prevalence over time, then we show that the Metropolis-Hasting algorithm performs well to infer the parameters. When there is no prevalence data, we have implemented a pseudo-marginal MCMC to infer the parameters using only the phylogeny. The pseudo-marginal method is also able to incorporate partial or noisy prevalence data, which results in improved inference when compared to only observing a dated phylogeny."
"Regev Schweiger",,"Richard Durbin","Department of Genetics, University of Cambridge","Fast genome-wide inference of pairwise coalescence times","Population genetics;Phylogenetics","PSMC, Coalescence, Ancestral Recombination Graph, ","The pairwise sequentially Markovian coalescent (PSMC) algorithm and its extensions infer the coalescence time of two homologous chromosomes at each position along the genome. This inference is utilized in reconstructing demographic histories, detecting selection signatures, genome-wide association studies, genotype imputation and more.
 
Inference of coalescence times between each pair of haplotypes in a large dataset is of great interest, as they may provide rich information about the population structure and history of the sample. Moreover, they may further be able to be used to construct an ancestral recombination graph - a sequence of local genealogies, documenting the genealogical history of each locus across the sample.
 
To facilitate such large-scale analyses, we introduce a new method, Gamma-SMC, which has the potential to be at least an order of magnitude faster. To obtain this speed up, we represent the posterior coalescence time distributions succinctly as a Gamma distribution with just two parameters; while in PSMC and its extensions, these are held as a vector over discrete intervals of time. Thus, Gamma-SMC has constant time complexity per site, without dependence on a number of discrete time states. Additionally, due to this continuous representation, our method can infer times spanning several orders of magnitude, and as such is robust to parameter misspecification. We describe how this approach works and illustrate its performance on simulated and real data."
"Marilou Boddé",,"Alex Makunin [2], Lemonde Bouafou [3,4], Nil Rahola [3,4], Marc F Ngangue [4], Boris Makanga [5], Diego Ayala [3,4], Richard Durbin [1], Mara Lawniczak [2]","1. Dept. of Genetics, University of Cambridge, Cambridge, UK
2. Wellcome Sanger Institute, Hinxton, UK
3. MIVEGEC, Univ. Montpellier, CNRS, IRD, Montpellier, France
4. CIRMF, Franceville, Gabon
5. IRET, Libreville , Gabon","High resolution species assignment of Anopheles mosquitoes using a genus-wide targeted sequencing approach","Deep learning in genomics","Anopheles mosquitoes, VAE, species assignment","Our lab previously developed a genus-wide targeted amplicon sequencing panel, called ANOSPP, to facilitate large-scale monitoring of Anopheles populations. Combining information from these amplicons allows for a more nuanced species assignment than single gene (e.g. COX1) barcoding, which is desirable in the light of Anopheles' permeable species boundaries. We present a hierarchical species assignment method called NNoVAE, for Nearest Neighbours (NN) and Variational Autoencoders (VAE), working on these amplicon sequences. The NN step assigns a sample to a species-group based by comparing the amplicon sequences to a reference database. The VAE step is required to distinguish between closely related species and has sufficient resolution to reveal population structure within species. In tests on independent samples with over 80% amplicon coverage, NNoVAE correctly classifies to species level 98% of samples within the An. gambiae complex and 89% of samples outside the complex. We will discuss NNoVAE's assignments on a labelled reference dataset and a large dataset of more than 3000 wild-caught mosquitoes from Gabon. ANOSPP and NNoVAE will be used to survey Anopheles species diversity and plasmodium transmission patterns through space and time on a large scale, with plans to analyse half a million mosquitoes in the next five years."
"Kang Jin [1,2]",,"Kang Jin [1,2], Daniel Schnell [1,5], Guangyuan Li [1,2], Surya Prasath [1,2,3], Rhonda Szczesniak [4], Bruce J Aronow [1,2,3]","[1] Division of Biomedical Informatics, Cincinnati Children’s Hospital Medical Center
[2] Department of Biomedical Informatics, University of Cincinnati
[3] Department of Electrical Engineering and Computer Science, University of Cincinnati
[4] Division of Biostatistics and Epidemiology, Cincinnati Children's Hospital Medical Center
[5] Heart Institute and Center for Translational Fibrosis Research, Cincinnati Children's Hospital Medical Center","CellDrift: identifying cellular and temporal patterns of perturbation responses from single-cell data","Functional genomics;Single cell -omics;Deep learning in genomics","Single Cell Sequencing, Perturbation, Temporal Pattern, Generalized Linear Model, Gaussian Process, Function Data Analysis","Shifted gene programs are the key to understanding perturbation responses in single-cell RNA sequencing experiments. With the increasing complexity of perturbational experiments, generative models, such as scGen and CPA, have been used to interrogate perturbation latent features utilizing the power of deep neural networks. However, a lack of interpretability still prevents biologists from straightforwardly understanding perturbation responses. Here we present CellDrift, a generalized linear model (GLM) that accounts for major covariates, including perturbation groups, cell types, and their interactions in perturbational single-cell data. We utilized Gaussian Process (GP) and functional Principal Component Analysis (fPCA) based on the results of GLM for perturbational studies with time series and identified temporal patterns of gene programs in perturbation responses. To illustrate CellDrift, we applied the model to a COVID-19 and sepsis blood single-cell dataset and identified disease-specific temporal patterns of interferon responses in sepsis and COVID-19 patients of different severity levels."
